ID;RESOURCE;PROPERTY;VOICEOVER;KEY;BR;CZ;RU;AR;TR;CN;PL;IT;FR;DE;ZH;ESMX;EN;KR;ES;JP;HU
1098033575;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033576;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;GRLT_MAGE_1098033576;;;;;;;;Mów dalej.;;;;;;Keep talking.;;;;
1098033577;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033578;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;MAG1_MAGE_1098033578;;;;;;;;Poszukuję mojej dawnej współpracowniczki - kobiety zwanej Carillą. Niedawno posłałem ją do Novigradu w charakterze emisariuszki, z misją nawiązania poufnego porozumienia z jednym z tamtejszych szefów półświatka. Sprawa dotyczyła przerzutu nilfgaardzkich towarów do mniej uprzywilejowanych ras miasta.;;;;;;I seek an associate of mine, a woman by the name of Carilla. A while ago I sent her as a diplomatic envoy to Novigrad to strike a covert deal with one of the city underbosses for aid in transporting nilfgaardian goods to the less fortunate races of the city.;;;;
1098033579;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033580;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;MAG1_MAGE_1098033580;;;;;;;;Nordlingowie w swych prześladowaniach elfów i krasnoludów nie ograniczają się tylko do ataków słownych czy fizycznych, ale nakładają ograniczenia na sprzedaż dóbr niezbędnych do ich przetrwania. Naszym zamiarem jest to naprawić.;;;;;;The nordlings' treatment of the elves and dwarves there does not come only in the form of verbal and physical harassment, but with restrictions and prohibitions to essential goods for their daily needs. We aim to correct that.;;;;
1098033581;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033582;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;GRLT_MAGE_1098033582;;;;;;;;Pokuszę się o tezę, że nie chodzi o walkę z rasizmem.;;;;;;Not out of goodwill, I'd wager.;;;;
1098033583;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033584;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;MAG1_MAGE_1098033584;;;;;;;;Oczywiście, że nie. Zamierzamy zawrzeć przymierze z grupami przestępczymi i zdobyć szacunek miejskich elfów i krasnoludów, aby zmniejszyć opór kiedy w nieunikniony sposób dotrzemy do Novigradu.;;;;;;Of course not. We aimed to forge an alliance with the gangs and get the respect of the elven and dwarven communities of the city, as to be offered less resistance when we inevitably reach Novigrad.;;;;
1098033585;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033586;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;GRLT_MAGE_1098033586;;;;;;;;Jedno cięcie. Dwa cele.;;;;;;Killing two ghouls with one strike.;;;;
1098033587;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033588;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;MAG1_MAGE_1098033588;;;;;;;;Dokładnie, jakże... Trafna ta metafora.;;;;;;Precisely, in your brutish way of putting it.;;;;
1098033589;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033590;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;GRLT_MAGE_1098033590;;;;;;;;Tylko, co to ma wspólnego z Carillą?;;;;;;And? What about Carilla, then?;;;;
1098033591;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033592;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;MAG1_MAGE_1098033592;;;;;;;;Została porwana przez kult, wiedźminie.;;;;;;She was kidnapped, witcher. By the cult.;;;;
1098033593;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Choice line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033594;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Choice line;;;;;;;;;Skąd to wiesz?;;;;;;How do you know that, exactly?;;;;
1098033595;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Choice line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033596;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Choice line;;;;;;;;;Skąd pewność, że kult jest w to zamieszany?;;;;;;How're you so sure the cult's involved?;;;;
1098033597;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033598;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;GRLT_MAGE_1098033598;;;;;;;;Skąd to wiesz? Wyśpiewał ci to jakiś nilfgaardzki słowik?;;;;;;How do you know that? Some Nilfgaardian bird whisper it in your ear?;;;;
1098033599;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033600;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;MAG1_MAGE_1098033600;;;;;;;;Coś w tym stylu...;;;;;;More or less...;;;;
1098033601;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033602;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;GRLT_MAGE_1098033602;;;;;;;;I tylko stąd ta pewność?;;;;;;And you're sure the cult's involved? Just like that?;;;;
1098033603;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033604;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;MAG1_MAGE_1098033604;;;;;;;;Proszę cię, wiedźminie... Czy naprawdę posądzasz mnie o taką ignorancję? Pozwól, że ci wyjaśnię.;;;;;;Please, it's never 'just like that', witcher. Allow me to explain.;;;;
1098033605;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033606;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;MAG1_MAGE_1098033606;;;;;;;;Straciłem z nią kontakt kilka dni temu. Wysłałem jednego ze swoich informatorów aby zbadał sprawę. Miejsce pobytu kultu na terenach okołomiejskich było uprzednio monitorowane i, z tego co wiem, znaki wskazują na ich zamieszanie w tę sprawę.;;;;;;I lost contact with her a few days ago. Sent out an informant of mine to investigate. The cult's whereabouts were being monitored previously in the area around the city and, from what I have been told, signs point to their involvement in this ordeal.;;;;
1098033607;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033608;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;MAG1_MAGE_1098033608;;;;;;;;Podejrzewam, że jedna z ich gałęzi wyrosła gdzieś w Novigradzie lub w jego pobliżu. Zadanie więc jest następujące: potrzebuję, byś ją odnalazł i, jeśli w rzeczy samej jest tak jak podejrzewam, zakończył ich działalność na terenie miasta.;;;;;;I suspect a local branch has formed in or around Novigrad. The task, then, is as follows: I need you to find her and, if the cult really is behind it as I suspect, erase their presence from the vicinity.;;;;
1098033609;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033610;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;GRLT_MAGE_1098033610;;;;;;;;Nie lada zadanie. Więc co, chcesz żebym wkroczył w ciemno i był dobrej myśli? Co z twoim człowiekiem?;;;;;;Quite the task. So what, want me to blindly walk in and go see what happened? What of your informant?;;;;
1098033611;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033612;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;MAG1_MAGE_1098033612;;;;;;;;Otóż właśnie, mój informator również ostatnio umilkł. Potrzebuję, byś go odnalazł i dowiedział się, co udało mu się ustalić. Swe poszukiwania oprzesz o jego dane i podejmiesz dalsze kroki. Ostatnim miejscem meldunku była wioska Arette, na wschód od Novigradu. Mój człowiek nazywa się Mavis.;;;;;;That's just it, my informant has also gone silent as of late. I need you to find him and see what he has gathered. Base your search on that information and continue from there. He was last posted in the village of Arette, east of Novigrad. His name is Mravis.;;;;
1098033613;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Choice line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033614;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Choice line;;;;;;;;;Zobaczę co się da zrobić.;;;;;;I'll see what I can do.;;;;
1098033615;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Choice line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033616;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Choice line;;;;;;;;;Na nic się jeszcze nie zgodziłem.;;;;;;Haven't agreed to anything.;;;;
1098033617;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033618;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;GRLT_MAGE_1098033618;;;;;;;;W porządku. Zobaczę, co uda mi się ustalić.;;;;;;Right. Will see what I can dig up.;;;;
1098033619;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033620;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;MAG1_MAGE_1098033620;;;;;;;;Dziękuję, że się zgodziłeś. To sprawa ogromnej wagi.;;;;;;I thank you, witcher, for agreeing to this. It is truly of great importance.;;;;
1098033621;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033622;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;GRLT_MAGE_1098033622;;;;;;;;Tak, tak, większe dobro i tym podobne. Nie pomagam ci z jakichś wyższych pobudek.;;;;;;Yeah, yeah, the greater good and whatnot. I'm not helping you because I find your motivations inspiring.;;;;
1098033623;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033624;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;MAG1_MAGE_1098033624;;;;;;;;Wiem.;;;;;;I know.;;;;
1098033625;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033626;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;MAG1_MAGE_1098033626;;;;;;;;Ale pomagasz mimo tego. W związku z tym, przyda ci się to.;;;;;;But, you are helping nonetheless. As such, you shall need this.;;;;
1098033627;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033628;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;GRLT_MAGE_1098033628;;;;;;;;Co to jest?;;;;;;What is it?;;;;
1098033629;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033630;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;MAG1_MAGE_1098033630;;;;;;;;Kamień Widzenia. Komórka kultu, której stawiłeś czoła tutaj, była jedynie młodą gałęzią, wciąż nieświadomą drzemiącego w niej potencjału. Jednakże ta, jak podejrzewam, jest dużo bardziej niebezpieczna. Znani są z korzystania z iluzji w celu ukrycia swojej obecności i śladów. Z pewnością ci się to przyda.;;;;;;A Seeing Stone. The cult cell you faced here was but a young upstart, still unaware of their true potential. This one, however, I suspect to be far more dangerous. They are known to make use of illusion magic to hide their presence and tracks. This will surely be useful to you.;;;;
1098033631;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Choice line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033632;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Choice line;;;;;;;;;Dzięki.;;;;;;Thank you.;;;;
1098033633;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Choice line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033634;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Choice line;;;;;;;;;[Nic nie mów.];;;;;;[Say nothing.];;;;
1098033635;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033636;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;GRLT_MAGE_1098033636;;;;;;;;Dzięki. Miejmy nadzieję, że zadziała.;;;;;;Thanks. Let's hope it works.;;;;
1098033637;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033638;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;MAG1_MAGE_1098033638;;;;;;;;Zadziała, zapewniam cię. Kiedy już znajdziesz Mavisa i z nim porozmawiasz, wyślij go do mnie.;;;;;;I can assure you of that. Send Mravis back to me once you have found him and he has passed on what he knows to you.;;;;
1098033639;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033640;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;MAG1_MAGE_1098033640;;;;;;;;Zadziała, zapewniam cię. Kiedy już znajdziesz Mavisa i z nim porozmawiasz, wyślij go do mnie.;;;;;;Of course, I can assure you it works. Send Mravis back to me once you have found him and he has passed on what he knows to you.;;;;
1098033641;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033642;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;GRLT_MAGE_1098033642;;;;;;;;Dobrze. Nie ma co tu dłużej stać.;;;;;;Alright then. I should get going.;;;;
1098033643;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033644;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;MAG1_MAGE_1098033644;;;;;;;;Ale pomagasz mimo tego. W związku z tym, przyda ci się to.;;;;;;But, you are helping nonetheless. As such, you shall need this.;;;;
1098033645;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033646;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;GRLT_MAGE_1098033646;;;;;;;;Na nic się jeszcze nie zgodziłem, zastanowię się nad tym.;;;;;;Haven't agreed to anything yet. I'll think about it.;;;;
1098033647;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033648;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;MAG1_MAGE_1098033648;;;;;;;;Dobrze. Dziękuję ci, wiedźminie.;;;;;;Good. I thank you, witcher.;;;;
1098033649;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033650;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;GRLT_MAGE_1098033650;;;;;;;;Powiedziałem, że się zastanowię.;;;;;;Said I'd think about it.;;;;
1098033651;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033652;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;MAG1_MAGE_1098033652;;;;;;;;Zastanawianie jest tylko krok od działania. Nie wydajesz mi się być typem człowieka, który porzuci niewinnych na łaskę losu. A może się mylę?;;;;;;Thinking is only one step removed from doing. You don't strike me as the sort who abandons innocents to the whims of fate. Or am I wrong?;;;;
1098033653;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033654;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;MAG1_MAGE_1098033654;;;;;;;;Bez względu na to, kiedy się namyślisz, przyda ci się to.;;;;;;Nonetheless, when you make up your mind, you shall need this.;;;;
1098033655;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033656;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;MAG1_MAGE_1098033656;;;;;;;;Jeszcze jedna rzecz, wiedźminie - Janus będzie miał na ciebie oko. Tak tylko wspominam, w ramach wzajemnego zaufania.;;;;;;One more thing, witcher - Janus will be keeping tabs on you at times. Just letting you know, as a sign of mutual trust.;;;;
1098033657;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033658;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;GRLT_MAGE_1098033658;;;;;;;;Nic tak nie buduje relacji i zaufania, jak przyzwoitka siedząca w krzakach.;;;;;;Not very trustworthy sending him to track my every move in the first place now, is it?;;;;
1098033659;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033660;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;MAG1_MAGE_1098033660;;;;;;;;Być może, ale nie mam żadnej gwarancji, że zrobisz dokładnie to, o co proszę. Lubię mieć asa w rękawie.;;;;;;Maybe not, but I have no guarantee either that you will follow through with this. I like to take my chances.;;;;
1098033661;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098033662;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line text;GRLT_MAGE_1098033662;;;;;;;;Niech ci będzie.;;;;;;I understand, I suppose.;;;;
1098033663;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\dlc_cult_02_cells\scenes\mage_first_meeting_new.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
